escs,repetidor,estatus_migratorio,genero,en_riesgo,mca_1,mca_2
-1.2612,Never repeated,First-Generation,Female,Sin riesgo,-0.014446919423733563,-0.6282880213627395
1.1265,Never repeated,Native,Female,Sin riesgo,-0.20473078280125376,0.3968901855589941
-0.3356,Repeated at least once,Native,Female,Sin riesgo,0.03472810810561098,-0.6068064502203688
0.7278,Never repeated,Native,Male,Sin riesgo,-0.14877213475211173,0.03947803292475091
0.5128,Never repeated,Native,Female,Sin riesgo,-0.22829574241032713,0.36009474889937265
1.0538,Never repeated,Native,Male,Sin riesgo,-0.17290026079621912,0.3533160172904388
-1.0692,Repeated at least once,Native,Female,Sin riesgo,0.04291044103375677,-0.7395928400737999
-1.331,Never repeated,Native,Male,En riesgo,-0.07628716972469471,-0.24253231728673372
1.3769,Never repeated,Native,Male,Sin riesgo,-0.17789255555736208,0.48610075990484325
0.8537,Never repeated,Native,Male,Sin riesgo,0.0984281199567978,0.07005319395244326
1.1138,Never repeated,Native,Female,Sin riesgo,-0.21943691011794758,0.49195294645397214
0.9267,Never repeated,Native,Female,Sin riesgo,0.3252109199574651,0.428923110762286
1.2524,Never repeated,Native,Female,Sin riesgo,-0.17596778022202567,0.3730228282480493
-1.3349,Repeated at least once,Native,Male,En riesgo,0.059236903265482886,-0.6005053221576792
0.6511,Never repeated,Native,Female,Sin riesgo,-0.23395126568499794,0.4488659514219182
0.8302,Never repeated,Native,Male,Sin riesgo,-0.1114622924006249,0.029851565148349562
0.7564,Never repeated,First-Generation,Female,En riesgo,0.7376024308628704,0.43211945219907993
0.0917,Repeated at least once,Native,Female,En riesgo,0.018873817088991173,-0.46578592822691767
-0.2177,Never repeated,Native,Male,Sin riesgo,-0.16131899801278277,0.13531916322724988
1.2502,Never repeated,Native,Male,Sin riesgo,-0.18675693975013646,0.5219355985644614
-2.9258,Never repeated,First-Generation,Male,En riesgo,0.0797124102300848,-0.9573011859996547
0.8127,Never repeated,Native,Male,Sin riesgo,-0.20874404719010947,0.5145880922182892
-0.0707,Never repeated,Native,Male,Sin riesgo,-0.19058731421944328,0.31029060750061055
1.0821,Never repeated,Native,Female,Sin riesgo,-0.2185294958270882,0.49067129697430695
0.1543,Never repeated,Native,Female,Sin riesgo,-0.1883498446196872,0.29549221109998197
0.1635,Repeated at least once,Native,Female,En riesgo,0.11179116577298297,-0.6653820988967609
-0.3595,Never repeated,Second-Generation,Male,Sin riesgo,-0.02563585579707416,-0.39474601835728745
1.1467,Never repeated,Native,Male,Sin riesgo,-0.19065917301843613,0.5995066901401543
1.1839,Never repeated,Native,Male,Sin riesgo,-0.12451751446145719,0.40364830071209795
-1.9659,Repeated at least once,First-Generation,Male,En riesgo,0.1801499153904691,-1.197048690466161
-0.7334,Repeated at least once,Native,Female,En riesgo,0.7052599744684599,-0.28641036978447193
1.1541,Never repeated,Native,Female,Sin riesgo,-0.1367333611360359,0.17950854598221327
-1.3669,Repeated at least once,First-Generation,Male,En riesgo,0.10031491443780483,-0.811082109209975
-0.016,Never repeated,Native,Male,Sin riesgo,-0.18160688371896092,0.2111183657661095
0.0058,Never repeated,Native,Female,Sin riesgo,0.850052061964248,0.5403741721939647
0.9157,Never repeated,Native,Male,Sin riesgo,-0.15649994248763488,0.23463082929656065
-0.5028,Never repeated,Second-Generation,Female,Sin riesgo,-0.12359650652290964,-0.18682576983918
-0.8071,Never repeated,Native,Male,Sin riesgo,-0.13072988993571674,-0.038146631408542686
1.3177,Never repeated,Native,Female,Sin riesgo,-0.0469230414679046,0.34264054315880227
-0.1207,Never repeated,Native,Male,Sin riesgo,-0.16676726140613257,0.12383463423968559
-0.3512,Never repeated,Native,Female,Sin riesgo,-0.1480976537749555,-0.03443684256098391
0.0682,Never repeated,Native,Female,Sin riesgo,-0.19654860340380137,0.15010386092933728
-1.1333,Never repeated,Native,Male,Sin riesgo,-0.0734212086468396,-0.3214107768349692
1.2118,Never repeated,Native,Male,Sin riesgo,-0.17650401951761294,0.3998082390943051
0.7633,Never repeated,Native,Male,En riesgo,-0.13027215147988522,0.027251701155882577
1.4647,Never repeated,Native,Male,En riesgo,-0.19448548892451345,0.4628352340353806
0.7888,Never repeated,Native,Female,En riesgo,2.877330431513245,0.98992135208822
-0.3513,Repeated at least once,Native,Female,En riesgo,0.07235232616379059,-0.3540969821943923
-0.0012,Never repeated,Native,Male,Sin riesgo,-0.14683072952089937,0.09940286245464866
-0.0549,Repeated at least once,Native,Female,En riesgo,0.07350686662158369,-0.5737522772528967
-0.9032,Repeated at least once,Second-Generation,Female,En riesgo,0.07157211170998445,-0.5271707200318952
-1.6252,Never repeated,First-Generation,Male,En riesgo,0.541456410228404,-0.6742506692682851
0.7544,Never repeated,Native,Female,Sin riesgo,-0.16424548795566582,0.09515375413896753
0.697,Never repeated,Native,Male,Sin riesgo,-0.14847532989770135,0.16820115049793832
-0.1602,Never repeated,Native,Female,Sin riesgo,-0.1443025978402808,-0.025558289563782963
0.6509,Never repeated,Native,Female,Sin riesgo,-0.1673333973852909,0.13359534809435517
-0.6941,Never repeated,Native,Female,Sin riesgo,-0.15105097940787143,-0.05286679747649211
-2.1595,Never repeated,Native,Female,Sin riesgo,-0.07275454918125354,-0.3830182142666416
0.2859,Never repeated,No Response,Male,Sin riesgo,0.12890939458658446,0.28403373141662536
-0.6207,Repeated at least once,Second-Generation,Female,En riesgo,0.1756503545223918,-0.6423922955605019
0.7864,Never repeated,Native,Female,Sin riesgo,-0.18354319639052277,0.19076138486437758
-0.2918,Never repeated,Native,Male,Sin riesgo,-0.12248742940502512,0.1293905462091907
0.9195,Never repeated,Native,Male,Sin riesgo,-0.1513341037719494,0.07307831208448648
1.4984,Never repeated,Native,Male,Sin riesgo,-0.13860866885028073,0.25176037060407286
-0.5782,Repeated at least once,Native,Male,Sin riesgo,0.0808065573218146,-0.8221389913215542
0.8462,Never repeated,Native,Female,Sin riesgo,-0.22758133086946475,0.522004012534197
-0.8781,Never repeated,First-Generation,Female,Sin riesgo,-0.08781317502973436,-0.20136143712935523
1.1437,Never repeated,Native,Female,Sin riesgo,-0.1964743469875878,0.4769475488486509
-1.7942,Repeated at least once,Native,Female,En riesgo,0.09492949046437704,-0.9209064650781945
0.7152,Never repeated,Native,Female,Sin riesgo,-0.20753117434929766,0.3356947900132882
0.0643,Never repeated,Native,Female,Sin riesgo,-0.15787731130105045,0.03562756988291597
-0.6201,Never repeated,First-Generation,Male,Sin riesgo,-0.11453015296027749,0.07039993921659514
-0.5435,Never repeated,Second-Generation,Female,Sin riesgo,-0.13857705159204922,-0.11535778274683191
0.1703,Never repeated,Native,Male,Sin riesgo,0.06613970073300612,-0.08050855433629918
-1.0901,Never repeated,First-Generation,Male,Sin riesgo,-0.050986788607157704,-0.34347508555990447
