Curso de ingreso;Comunidad autónoma;Sexo;Años desde el ingreso;Situación educativa;Total
2020-2021;Balears, Illes;AMBOS SEXOS;2º año;Matriculado mismo ciclo;70,9
2020-2021;Balears, Illes;AMBOS SEXOS;2º año;Matriculados otro ciclo;6,8
2020-2021;Balears, Illes;AMBOS SEXOS;2º año;Bachillerato;1,0
2020-2021;Balears, Illes;AMBOS SEXOS;2º año;Otras Enseñanzas;0,7
2020-2021;Balears, Illes;AMBOS SEXOS;2º año;Sin Matricula;20,7
2020-2021;Balears, Illes;AMBOS SEXOS;3er año;TOTAL;100,0
2020-2021;Balears, Illes;AMBOS SEXOS;3er año;Terminan años anteriores;48,1
2020-2021;Balears, Illes;AMBOS SEXOS;3er año;Matriculado mismo ciclo;15,1
2020-2021;Balears, Illes;AMBOS SEXOS;3er año;Matriculados otro ciclo;6,8
2020-2021;Balears, Illes;AMBOS SEXOS;3er año;Bachillerato;0,8
2020-2021;Balears, Illes;AMBOS SEXOS;3er año;Otras Enseñanzas;0,7
2020-2021;Balears, Illes;AMBOS SEXOS;3er año;Sin Matricula;28,6
2020-2021;Balears, Illes;AMBOS SEXOS;4º año;TOTAL;100,0
2020-2021;Balears, Illes;AMBOS SEXOS;4º año;Terminan años anteriores;59,4
2020-2021;Balears, Illes;AMBOS SEXOS;4º año;Matriculado mismo ciclo;4,0
2020-2021;Balears, Illes;AMBOS SEXOS;4º año;Matriculados otro ciclo;4,0
2020-2021;Balears, Illes;AMBOS SEXOS;4º año;Bachillerato;0,4
2020-2021;Balears, Illes;AMBOS SEXOS;4º año;Otras Enseñanzas;0,8
2020-2021;Balears, Illes;AMBOS SEXOS;4º año;Sin Matricula;31,3
2020-2021;Balears, Illes;AMBOS SEXOS;5º año;TOTAL;..
2020-2021;Balears, Illes;AMBOS SEXOS;5º año;Terminan años anteriores;..
2020-2021;Balears, Illes;AMBOS SEXOS;5º año;Matriculado mismo ciclo;..
2020-2021;Balears, Illes;AMBOS SEXOS;5º año;Matriculados otro ciclo;..
2020-2021;Balears, Illes;AMBOS SEXOS;5º año;Bachillerato;..
2020-2021;Balears, Illes;AMBOS SEXOS;5º año;Otras Enseñanzas;..
2020-2021;Balears, Illes;AMBOS SEXOS;5º año;Sin Matricula;..
2020-2021;Balears, Illes;Hombres;2º año;TOTAL;100,0
2020-2021;Balears, Illes;Hombres;2º año;Terminan años anteriores;.
2020-2021;Balears, Illes;Hombres;2º año;Matriculado mismo ciclo;67,0
2020-2021;Balears, Illes;Hombres;2º año;Matriculados otro ciclo;8,8
2020-2021;Balears, Illes;Hombres;2º año;Bachillerato;1,0
2020-2021;Balears, Illes;Hombres;2º año;Otras Enseñanzas;0,8
2020-2021;Balears, Illes;Hombres;2º año;Sin Matricula;22,4
2020-2021;Balears, Illes;Hombres;3er año;TOTAL;100,0
2020-2021;Balears, Illes;Hombres;3er año;Terminan años anteriores;42,9
2020-2021;Balears, Illes;Hombres;3er año;Matriculado mismo ciclo;15,9
2020-2021;Balears, Illes;Hombres;3er año;Matriculados otro ciclo;8,0
2020-2021;Balears, Illes;Hombres;3er año;Bachillerato;0,9
2020-2021;Balears, Illes;Hombres;3er año;Otras Enseñanzas;0,7
2020-2021;Balears, Illes;Hombres;3er año;Sin Matricula;31,6
2020-2021;Balears, Illes;Hombres;4º año;TOTAL;100,0
2020-2021;Balears, Illes;Hombres;4º año;Terminan años anteriores;54,6
2020-2021;Balears, Illes;Hombres;4º año;Matriculado mismo ciclo;4,4
2020-2021;Balears, Illes;Hombres;4º año;Matriculados otro ciclo;4,8
2020-2021;Balears, Illes;Hombres;4º año;Bachillerato;0,4
2020-2021;Balears, Illes;Hombres;4º año;Otras Enseñanzas;0,9
2020-2021;Balears, Illes;Hombres;4º año;Sin Matricula;34,9
2020-2021;Balears, Illes;Hombres;5º año;TOTAL;..
2020-2021;Balears, Illes;Hombres;5º año;Terminan años anteriores;..
2020-2021;Balears, Illes;Hombres;5º año;Matriculado mismo ciclo;..
2020-2021;Balears, Illes;Hombres;5º año;Matriculados otro ciclo;..
2020-2021;Balears, Illes;Hombres;5º año;Bachillerato;..
2020-2021;Balears, Illes;Hombres;5º año;Otras Enseñanzas;..
2020-2021;Balears, Illes;Hombres;5º año;Sin Matricula;..
2020-2021;Balears, Illes;Mujeres;2º año;TOTAL;100,0
2020-2021;Balears, Illes;Mujeres;2º año;Terminan años anteriores;.
2020-2021;Balears, Illes;Mujeres;2º año;Matriculado mismo ciclo;76,1
2020-2021;Balears, Illes;Mujeres;2º año;Matriculados otro ciclo;4,1
2020-2021;Balears, Illes;Mujeres;2º año;Bachillerato;0,9
2020-2021;Balears, Illes;Mujeres;2º año;Otras Enseñanzas;0,6
2020-2021;Balears, Illes;Mujeres;2º año;Sin Matricula;18,4
2020-2021;Balears, Illes;Mujeres;3er año;TOTAL;100,0
2020-2021;Balears, Illes;Mujeres;3er año;Terminan años anteriores;54,7
2020-2021;Balears, Illes;Mujeres;3er año;Matriculado mismo ciclo;14,0
2020-2021;Balears, Illes;Mujeres;3er año;Matriculados otro ciclo;5,1
2020-2021;Balears, Illes;Mujeres;3er año;Bachillerato;0,6
2020-2021;Balears, Illes;Mujeres;3er año;Otras Enseñanzas;0,8
2020-2021;Balears, Illes;Mujeres;3er año;Sin Matricula;24,6
2020-2021;Balears, Illes;Mujeres;4º año;TOTAL;100,0
2020-2021;Balears, Illes;Mujeres;4º año;Terminan años anteriores;65,6
2020-2021;Balears, Illes;Mujeres;4º año;Matriculado mismo ciclo;3,6
2020-2021;Balears, Illes;Mujeres;4º año;Matriculados otro ciclo;3,1
2020-2021;Balears, Illes;Mujeres;4º año;Bachillerato;0,3
2020-2021;Balears, Illes;Mujeres;4º año;Otras Enseñanzas;0,8
2020-2021;Balears, Illes;Mujeres;4º año;Sin Matricula;26,6
2020-2021;Balears, Illes;Mujeres;5º año;TOTAL;..
2020-2021;Balears, Illes;Mujeres;5º año;Terminan años anteriores;..
2020-2021;Balears, Illes;Mujeres;5º año;Matriculado mismo ciclo;..
2020-2021;Balears, Illes;Mujeres;5º año;Matriculados otro ciclo;..
2020-2021;Balears, Illes;Mujeres;5º año;Bachillerato;..
2020-2021;Balears, Illes;Mujeres;5º año;Otras Enseñanzas;..
2020-2021;Balears, Illes;Mujeres;5º año;Sin Matricula;..
2020-2021;Canarias;AMBOS SEXOS;2º año;TOTAL;100,0
2020-2021;Canarias;AMBOS SEXOS;2º año;Terminan años anteriores;.
2020-2021;Canarias;AMBOS SEXOS;2º año;Matriculado mismo ciclo;69,2
2020-2021;Canarias;AMBOS SEXOS;2º año;Matriculados otro ciclo;5,6
2020-2021;Canarias;AMBOS SEXOS;2º año;Bachillerato;2,1
2020-2021;Canarias;AMBOS SEXOS;2º año;Otras Enseñanzas;1,9
2020-2021;Canarias;AMBOS SEXOS;2º año;Sin Matricula;21,2
2020-2021;Canarias;AMBOS SEXOS;3er año;TOTAL;100,0
2020-2021;Canarias;AMBOS SEXOS;3er año;Terminan años anteriores;46,4
2020-2021;Canarias;AMBOS SEXOS;3er año;Matriculado mismo ciclo;12,2
2020-2021;Canarias;AMBOS SEXOS;3er año;Matriculados otro ciclo;6,4
2020-2021;Canarias;AMBOS SEXOS;3er año;Bachillerato;1,6
2020-2021;Canarias;AMBOS SEXOS;3er año;Otras Enseñanzas;2,2
2020-2021;Canarias;AMBOS SEXOS;3er año;Sin Matricula;31,2
2020-2021;Canarias;AMBOS SEXOS;4º año;TOTAL;100,0
2020-2021;Canarias;AMBOS SEXOS;4º año;Terminan años anteriores;54,2
2020-2021;Canarias;AMBOS SEXOS;4º año;Matriculado mismo ciclo;3,2
2020-2021;Canarias;AMBOS SEXOS;4º año;Matriculados otro ciclo;4,3
2020-2021;Canarias;AMBOS SEXOS;4º año;Bachillerato;1,1
2020-2021;Canarias;AMBOS SEXOS;4º año;Otras Enseñanzas;2,0
2020-2021;Canarias;AMBOS SEXOS;4º año;Sin Matricula;35,2
2020-2021;Canarias;AMBOS SEXOS;5º año;TOTAL;..
2020-2021;Canarias;AMBOS SEXOS;5º año;Terminan años anteriores;..
2020-2021;Canarias;AMBOS SEXOS;5º año;Matriculado mismo ciclo;..
2020-2021;Canarias;AMBOS SEXOS;5º año;Matriculados otro ciclo;..
2020-2021;Canarias;AMBOS SEXOS;5º año;Bachillerato;..
2020-2021;Canarias;AMBOS SEXOS;5º año;Otras Enseñanzas;..
2020-2021;Canarias;AMBOS SEXOS;5º año;Sin Matricula;..
2020-2021;Canarias;Hombres;2º año;TOTAL;100,0
2020-2021;Canarias;Hombres;2º año;Terminan años anteriores;.
2020-2021;Canarias;Hombres;2º año;Matriculado mismo ciclo;66,1
2020-2021;Canarias;Hombres;2º año;Matriculados otro ciclo;6,6
2020-2021;Canarias;Hombres;2º año;Bachillerato;2,3
2020-2021;Canarias;Hombres;2º año;Otras Enseñanzas;2,3
2020-2021;Canarias;Hombres;2º año;Sin Matricula;22,7
2020-2021;Canarias;Hombres;3er año;TOTAL;100,0
2020-2021;Canarias;Hombres;3er año;Terminan años anteriores;41,0
2020-2021;Canarias;Hombres;3er año;Matriculado mismo ciclo;13,7
2020-2021;Canarias;Hombres;3er año;Matriculados otro ciclo;7,3
2020-2021;Canarias;Hombres;3er año;Bachillerato;1,5
2020-2021;Canarias;Hombres;3er año;Otras Enseñanzas;2,3
2020-2021;Canarias;Hombres;3er año;Sin Matricula;34,3
2020-2021;Canarias;Hombres;4º año;TOTAL;100,0
2020-2021;Canarias;Hombres;4º año;Terminan años anteriores;49,9
2020-2021;Canarias;Hombres;4º año;Matriculado mismo ciclo;3,2
2020-2021;Canarias;Hombres;4º año;Matriculados otro ciclo;4,5
2020-2021;Canarias;Hombres;4º año;Bachillerato;1,0
2020-2021;Canarias;Hombres;4º año;Otras Enseñanzas;2,2
2020-2021;Canarias;Hombres;4º año;Sin Matricula;39,2
2020-2021;Canarias;Hombres;5º año;TOTAL;..
2020-2021;Canarias;Hombres;5º año;Terminan años anteriores;..
2020-2021;Canarias;Hombres;5º año;Matriculado mismo ciclo;..
2020-2021;Canarias;Hombres;5º año;Matriculados otro ciclo;..
2020-2021;Canarias;Hombres;5º año;Bachillerato;..
2020-2021;Canarias;Hombres;5º año;Otras Enseñanzas;..
2020-2021;Canarias;Hombres;5º año;Sin Matricula;..
2020-2021;Canarias;Mujeres;2º año;TOTAL;100,0
2020-2021;Canarias;Mujeres;2º año;Terminan años anteriores;.
2020-2021;Canarias;Mujeres;2º año;Matriculado mismo ciclo;73,9
2020-2021;Canarias;Mujeres;2º año;Matriculados otro ciclo;4,0
2020-2021;Canarias;Mujeres;2º año;Bachillerato;1,8
2020-2021;Canarias;Mujeres;2º año;Otras Enseñanzas;1,2
2020-2021;Canarias;Mujeres;2º año;Sin Matricula;19,1
2020-2021;Canarias;Mujeres;3er año;TOTAL;100,0
2020-2021;Canarias;Mujeres;3er año;Terminan años anteriores;54,5
2020-2021;Canarias;Mujeres;3er año;Matriculado mismo ciclo;10,1
2020-2021;Canarias;Mujeres;3er año;Matriculados otro ciclo;5,0
2020-2021;Canarias;Mujeres;3er año;Bachillerato;1,8
2020-2021;Canarias;Mujeres;3er año;Otras Enseñanzas;2,1
2020-2021;Canarias;Mujeres;3er año;Sin Matricula;26,7
2020-2021;Canarias;Mujeres;4º año;TOTAL;100,0
2020-2021;Canarias;Mujeres;4º año;Terminan años anteriores;60,7
2020-2021;Canarias;Mujeres;4º año;Matriculado mismo ciclo;3,1
2020-2021;Canarias;Mujeres;4º año;Matriculados otro ciclo;3,9
2020-2021;Canarias;Mujeres;4º año;Bachillerato;1,1
2020-2021;Canarias;Mujeres;4º año;Otras Enseñanzas;1,8
2020-2021;Canarias;Mujeres;4º año;Sin Matricula;29,3
2020-2021;Canarias;Mujeres;5º año;TOTAL;..
2020-2021;Canarias;Mujeres;5º año;Terminan años anteriores;..
2020-2021;Canarias;Mujeres;5º año;Matriculado mismo ciclo;..
2020-2021;Canarias;Mujeres;5º año;Matriculados otro ciclo;..
2020-2021;Canarias;Mujeres;5º año;Bachillerato;..
2020-2021;Canarias;Mujeres;5º año;Otras Enseñanzas;..
2020-2021;Canarias;Mujeres;5º año;Sin Matricula;..
2020-2021;Cantabria;AMBOS SEXOS;2º año;TOTAL;100,0
2020-2021;Cantabria;AMBOS SEXOS;2º año;Terminan años anteriores;.
2020-2021;Cantabria;AMBOS SEXOS;2º año;Matriculado mismo ciclo;79,5
2020-2021;Cantabria;AMBOS SEXOS;2º año;Matriculados otro ciclo;5,2
2020-2021;Cantabria;AMBOS SEXOS;2º año;Bachillerato;0,6
2020-2021;Cantabria;AMBOS SEXOS;2º año;Otras Enseñanzas;0,7
2020-2021;Cantabria;AMBOS SEXOS;2º año;Sin Matricula;14,0
2020-2021;Cantabria;AMBOS SEXOS;3er año;TOTAL;100,0
2020-2021;Cantabria;AMBOS SEXOS;3er año;Terminan años anteriores;49,4
2020-2021;Cantabria;AMBOS SEXOS;3er año;Matriculado mismo ciclo;20,8
2020-2021;Cantabria;AMBOS SEXOS;3er año;Matriculados otro ciclo;5,5
2020-2021;Cantabria;AMBOS SEXOS;3er año;Bachillerato;1,1
2020-2021;Cantabria;AMBOS SEXOS;3er año;Otras Enseñanzas;1,1
2020-2021;Cantabria;AMBOS SEXOS;3er año;Sin Matricula;22,1
2020-2021;Cantabria;AMBOS SEXOS;4º año;TOTAL;100,0
2020-2021;Cantabria;AMBOS SEXOS;4º año;Terminan años anteriores;64,6
2020-2021;Cantabria;AMBOS SEXOS;4º año;Matriculado mismo ciclo;6,4
2020-2021;Cantabria;AMBOS SEXOS;4º año;Matriculados otro ciclo;4,1
2020-2021;Cantabria;AMBOS SEXOS;4º año;Bachillerato;0,6
2020-2021;Cantabria;AMBOS SEXOS;4º año;Otras Enseñanzas;1,3
2020-2021;Cantabria;AMBOS SEXOS;4º año;Sin Matricula;23,0
2020-2021;Cantabria;AMBOS SEXOS;5º año;TOTAL;..
2020-2021;Cantabria;AMBOS SEXOS;5º año;Terminan años anteriores;..
2020-2021;Cantabria;AMBOS SEXOS;5º año;Matriculado mismo ciclo;..
2020-2021;Cantabria;AMBOS SEXOS;5º año;Matriculados otro ciclo;..
2020-2021;Cantabria;AMBOS SEXOS;5º año;Bachillerato;..
2020-2021;Cantabria;AMBOS SEXOS;5º año;Otras Enseñanzas;..
2020-2021;Cantabria;AMBOS SEXOS;5º año;Sin Matricula;..
2020-2021;Cantabria;Hombres;2º año;TOTAL;100,0
2020-2021;Cantabria;Hombres;2º año;Terminan años anteriores;.
2020-2021;Cantabria;Hombres;2º año;Matriculado mismo ciclo;75,4
2020-2021;Cantabria;Hombres;2º año;Matriculados otro ciclo;7,4
2020-2021;Cantabria;Hombres;2º año;Bachillerato;1,0
2020-2021;Cantabria;Hombres;2º año;Otras Enseñanzas;0,8
2020-2021;Cantabria;Hombres;2º año;Sin Matricula;15,4
2020-2021;Cantabria;Hombres;3er año;TOTAL;100,0
2020-2021;Cantabria;Hombres;3er año;Terminan años anteriores;41,3
2020-2021;Cantabria;Hombres;3er año;Matriculado mismo ciclo;23,1
2020-2021;Cantabria;Hombres;3er año;Matriculados otro ciclo;7,0
2020-2021;Cantabria;Hombres;3er año;Bachillerato;1,3
2020-2021;Cantabria;Hombres;3er año;Otras Enseñanzas;1,3
2020-2021;Cantabria;Hombres;3er año;Sin Matricula;26,0
2020-2021;Cantabria;Hombres;4º año;TOTAL;100,0
2020-2021;Cantabria;Hombres;4º año;Terminan años anteriores;57,9
2020-2021;Cantabria;Hombres;4º año;Matriculado mismo ciclo;7,1
2020-2021;Cantabria;Hombres;4º año;Matriculados otro ciclo;4,7
2020-2021;Cantabria;Hombres;4º año;Bachillerato;0,8
2020-2021;Cantabria;Hombres;4º año;Otras Enseñanzas;1,3
2020-2021;Cantabria;Hombres;4º año;Sin Matricula;28,1
2020-2021;Cantabria;Hombres;5º año;TOTAL;..
2020-2021;Cantabria;Hombres;5º año;Terminan años anteriores;..
2020-2021;Cantabria;Hombres;5º año;Matriculado mismo ciclo;..
2020-2021;Cantabria;Hombres;5º año;Matriculados otro ciclo;..
2020-2021;Cantabria;Hombres;5º año;Bachillerato;..
2020-2021;Cantabria;Hombres;5º año;Otras Enseñanzas;..
2020-2021;Cantabria;Hombres;5º año;Sin Matricula;..
2020-2021;Cantabria;Mujeres;2º año;TOTAL;100,0
2020-2021;Cantabria;Mujeres;2º año;Terminan años anteriores;.
2020-2021;Cantabria;Mujeres;2º año;Matriculado mismo ciclo;84,6
2020-2021;Cantabria;Mujeres;2º año;Matriculados otro ciclo;2,5
2020-2021;Cantabria;Mujeres;2º año;Bachillerato;0,1
2020-2021;Cantabria;Mujeres;2º año;Otras Enseñanzas;0,7
2020-2021;Cantabria;Mujeres;2º año;Sin Matricula;12,1
2020-2021;Cantabria;Mujeres;3er año;TOTAL;100,0
2020-2021;Cantabria;Mujeres;3er año;Terminan años anteriores;59,5
2020-2021;Cantabria;Mujeres;3er año;Matriculado mismo ciclo;18,0
2020-2021;Cantabria;Mujeres;3er año;Matriculados otro ciclo;3,7
2020-2021;Cantabria;Mujeres;3er año;Bachillerato;0,8
2020-2021;Cantabria;Mujeres;3er año;Otras Enseñanzas;0,8
2020-2021;Cantabria;Mujeres;3er año;Sin Matricula;17,2
2020-2021;Cantabria;Mujeres;4º año;TOTAL;100,0
2020-2021;Cantabria;Mujeres;4º año;Terminan años anteriores;72,9
2020-2021;Cantabria;Mujeres;4º año;Matriculado mismo ciclo;5,5
2020-2021;Cantabria;Mujeres;4º año;Matriculados otro ciclo;3,3
2020-2021;Cantabria;Mujeres;4º año;Bachillerato;0,4
2020-2021;Cantabria;Mujeres;4º año;Otras Enseñanzas;1,4
2020-2021;Cantabria;Mujeres;4º año;Sin Matricula;16,6
2020-2021;Cantabria;Mujeres;5º año;TOTAL;..
2020-2021;Cantabria;Mujeres;5º año;Terminan años anteriores;..
2020-2021;Cantabria;Mujeres;5º año;Matriculado mismo ciclo;..
2020-2021;Cantabria;Mujeres;5º año;Matriculados otro ciclo;..
2020-2021;Cantabria;Mujeres;5º año;Bachillerato;..
2020-2021;Cantabria;Mujeres;5º año;Otras Enseñanzas;..
2020-2021;Cantabria;Mujeres;5º año;Sin Matricula;..
2020-2021;Castilla y León;AMBOS SEXOS;2º año;TOTAL;100,0
2020-2021;Castilla y León;AMBOS SEXOS;2º año;Terminan años anteriores;.
2020-2021;Castilla y León;AMBOS SEXOS;2º año;Matriculado mismo ciclo;73,5
2020-2021;Castilla y León;AMBOS SEXOS;2º año;Matriculados otro ciclo;8,5
2020-2021;Castilla y León;AMBOS SEXOS;2º año;Bachillerato;1,0
2020-2021;Castilla y León;AMBOS SEXOS;2º año;Otras Enseñanzas;1,3
2020-2021;Castilla y León;AMBOS SEXOS;2º año;Sin Matricula;15,8
2020-2021;Castilla y León;AMBOS SEXOS;3er año;TOTAL;100,0
2020-2021;Castilla y León;AMBOS SEXOS;3er año;Terminan años anteriores;42,6
2020-2021;Castilla y León;AMBOS SEXOS;3er año;Matriculado mismo ciclo;21,6
2020-2021;Castilla y León;AMBOS SEXOS;3er año;Matriculados otro ciclo;8,4
2020-2021;Castilla y León;AMBOS SEXOS;3er año;Bachillerato;0,7
2020-2021;Castilla y León;AMBOS SEXOS;3er año;Otras Enseñanzas;2,2
2020-2021;Castilla y León;AMBOS SEXOS;3er año;Sin Matricula;24,4
2020-2021;Castilla y León;AMBOS SEXOS;4º año;TOTAL;100,0
2020-2021;Castilla y León;AMBOS SEXOS;4º año;Terminan años anteriores;57,5
2020-2021;Castilla y León;AMBOS SEXOS;4º año;Matriculado mismo ciclo;5,7
2020-2021;Castilla y León;AMBOS SEXOS;4º año;Matriculados otro ciclo;5,9
2020-2021;Castilla y León;AMBOS SEXOS;4º año;Bachillerato;0,5
2020-2021;Castilla y León;AMBOS SEXOS;4º año;Otras Enseñanzas;2,2
2020-2021;Castilla y León;AMBOS SEXOS;4º año;Sin Matricula;28,3
2020-2021;Castilla y León;AMBOS SEXOS;5º año;TOTAL;..
2020-2021;Castilla y León;AMBOS SEXOS;5º año;Terminan años anteriores;..
2020-2021;Castilla y León;AMBOS SEXOS;5º año;Matriculado mismo ciclo;..
2020-2021;Castilla y León;AMBOS SEXOS;5º año;Matriculados otro ciclo;..
2020-2021;Castilla y León;AMBOS SEXOS;5º año;Bachillerato;..
2020-2021;Castilla y León;AMBOS SEXOS;5º año;Otras Enseñanzas;..
2020-2021;Castilla y León;AMBOS SEXOS;5º año;Sin Matricula;..
2020-2021;Castilla y León;Hombres;2º año;TOTAL;100,0
2020-2021;Castilla y León;Hombres;2º año;Terminan años anteriores;.
2020-2021;Castilla y León;Hombres;2º año;Matriculado mismo ciclo;71,4
2020-2021;Castilla y León;Hombres;2º año;Matriculados otro ciclo;10,0
2020-2021;Castilla y León;Hombres;2º año;Bachillerato;1,0
2020-2021;Castilla y León;Hombres;2º año;Otras Enseñanzas;1,2
2020-2021;Castilla y León;Hombres;2º año;Sin Matricula;16,4
2020-2021;Castilla y León;Hombres;3er año;TOTAL;100,0
2020-2021;Castilla y León;Hombres;3er año;Terminan años anteriores;38,7
2020-2021;Castilla y León;Hombres;3er año;Matriculado mismo ciclo;23,0
2020-2021;Castilla y León;Hombres;3er año;Matriculados otro ciclo;8,9
2020-2021;Castilla y León;Hombres;3er año;Bachillerato;0,8
2020-2021;Castilla y León;Hombres;3er año;Otras Enseñanzas;2,2
2020-2021;Castilla y León;Hombres;3er año;Sin Matricula;26,4
2020-2021;Castilla y León;Hombres;4º año;TOTAL;100,0
2020-2021;Castilla y León;Hombres;4º año;Terminan años anteriores;54,3
2020-2021;Castilla y León;Hombres;4º año;Matriculado mismo ciclo;6,2
2020-2021;Castilla y León;Hombres;4º año;Matriculados otro ciclo;5,8
2020-2021;Castilla y León;Hombres;4º año;Bachillerato;0,4
2020-2021;Castilla y León;Hombres;4º año;Otras Enseñanzas;2,2
2020-2021;Castilla y León;Hombres;4º año;Sin Matricula;31,1
2020-2021;Castilla y León;Hombres;5º año;TOTAL;..
2020-2021;Castilla y León;Hombres;5º año;Terminan años anteriores;..
2020-2021;Castilla y León;Hombres;5º año;Matriculado mismo ciclo;..
2020-2021;Castilla y León;Hombres;5º año;Matriculados otro ciclo;..
2020-2021;Castilla y León;Hombres;5º año;Bachillerato;..
2020-2021;Castilla y León;Hombres;5º año;Otras Enseñanzas;..
2020-2021;Castilla y León;Hombres;5º año;Sin Matricula;..
2020-2021;Castilla y León;Mujeres;2º año;TOTAL;100,0
2020-2021;Castilla y León;Mujeres;2º año;Terminan años anteriores;.
2020-2021;Castilla y León;Mujeres;2º año;Matriculado mismo ciclo;76,3
2020-2021;Castilla y León;Mujeres;2º año;Matriculados otro ciclo;6,4
2020-2021;Castilla y León;Mujeres;2º año;Bachillerato;0,9
2020-2021;Castilla y León;Mujeres;2º año;Otras Enseñanzas;1,4
2020-2021;Castilla y León;Mujeres;2º año;Sin Matricula;15,0
2020-2021;Castilla y León;Mujeres;3er año;TOTAL;100,0
2020-2021;Castilla y León;Mujeres;3er año;Terminan años anteriores;48,2
2020-2021;Castilla y León;Mujeres;3er año;Matriculado mismo ciclo;19,7
2020-2021;Castilla y León;Mujeres;3er año;Matriculados otro ciclo;7,7
2020-2021;Castilla y León;Mujeres;3er año;Bachillerato;0,6
2020-2021;Castilla y León;Mujeres;3er año;Otras Enseñanzas;2,2
2020-2021;Castilla y León;Mujeres;3er año;Sin Matricula;21,6
2020-2021;Castilla y León;Mujeres;4º año;TOTAL;100,0
2020-2021;Castilla y León;Mujeres;4º año;Terminan años anteriores;62,1
2020-2021;Castilla y León;Mujeres;4º año;Matriculado mismo ciclo;4,9
2020-2021;Castilla y León;Mujeres;4º año;Matriculados otro ciclo;5,9
2020-2021;Castilla y León;Mujeres;4º año;Bachillerato;0,5
2020-2021;Castilla y León;Mujeres;4º año;Otras Enseñanzas;2,2
2020-2021;Castilla y León;Mujeres;4º año;Sin Matricula;24,4
2020-2021;Castilla y León;Mujeres;5º año;TOTAL;..
2020-2021;Castilla y León;Mujeres;5º año;Terminan años anteriores;..
2020-2021;Castilla y León;Mujeres;5º año;Matriculado mismo ciclo;..
2020-2021;Castilla y León;Mujeres;5º año;Matriculados otro ciclo;..
2020-2021;Castilla y León;Mujeres;5º año;Bachillerato;..
2020-2021;Castilla y León;Mujeres;5º año;Otras Enseñanzas;..
2020-2021;Castilla y León;Mujeres;5º año;Sin Matricula;..
2020-2021;Castilla-La Mancha;AMBOS SEXOS;2º año;TOTAL;100,0
2020-2021;Castilla-La Mancha;AMBOS SEXOS;2º año;Terminan años anteriores;.
2020-2021;Castilla-La Mancha;AMBOS SEXOS;2º año;Matriculado mismo ciclo;75,0
2020-2021;Castilla-La Mancha;AMBOS SEXOS;2º año;Matriculados otro ciclo;6,5
2020-2021;Castilla-La Mancha;AMBOS SEXOS;2º año;Bachillerato;0,9
2020-2021;Castilla-La Mancha;AMBOS SEXOS;2º año;Otras Enseñanzas;0,7
2020-2021;Castilla-La Mancha;AMBOS SEXOS;2º año;Sin Matricula;16,8
2020-2021;Castilla-La Mancha;AMBOS SEXOS;3er año;TOTAL;100,0
2020-2021;Castilla-La Mancha;AMBOS SEXOS;3er año;Terminan años anteriores;46,6
2020-2021;Castilla-La Mancha;AMBOS SEXOS;3er año;Matriculado mismo ciclo;20,6
2020-2021;Castilla-La Mancha;AMBOS SEXOS;3er año;Matriculados otro ciclo;7,5
2020-2021;Castilla-La Mancha;AMBOS SEXOS;3er año;Bachillerato;0,8
2020-2021;Castilla-La Mancha;AMBOS SEXOS;3er año;Otras Enseñanzas;1,0
2020-2021;Castilla-La Mancha;AMBOS SEXOS;3er año;Sin Matricula;23,5
2020-2021;Castilla-La Mancha;AMBOS SEXOS;4º año;TOTAL;100,0
2020-2021;Castilla-La Mancha;AMBOS SEXOS;4º año;Terminan años anteriores;60,2
2020-2021;Castilla-La Mancha;AMBOS SEXOS;4º año;Matriculado mismo ciclo;6,2
2020-2021;Castilla-La Mancha;AMBOS SEXOS;4º año;Matriculados otro ciclo;5,1
2020-2021;Castilla-La Mancha;AMBOS SEXOS;4º año;Bachillerato;0,6
2020-2021;Castilla-La Mancha;AMBOS SEXOS;4º año;Otras Enseñanzas;1,1
2020-2021;Castilla-La Mancha;AMBOS SEXOS;4º año;Sin Matricula;26,8
2020-2021;Castilla-La Mancha;AMBOS SEXOS;5º año;TOTAL;..
2020-2021;Castilla-La Mancha;AMBOS SEXOS;5º año;Terminan años anteriores;..
2020-2021;Castilla-La Mancha;AMBOS SEXOS;5º año;Matriculado mismo ciclo;..
2020-2021;Castilla-La Mancha;AMBOS SEXOS;5º año;Matriculados otro ciclo;..
2020-2021;Castilla-La Mancha;AMBOS SEXOS;5º año;Bachillerato;..
2020-2021;Castilla-La Mancha;AMBOS SEXOS;5º año;Otras Enseñanzas;..
2020-2021;Castilla-La Mancha;AMBOS SEXOS;5º año;Sin Matricula;..
2020-2021;Castilla-La Mancha;Hombres;2º año;TOTAL;100,0
2020-2021;Castilla-La Mancha;Hombres;2º año;Terminan años anteriores;.
2020-2021;Castilla-La Mancha;Hombres;2º año;Matriculado mismo ciclo;71,7
2020-2021;Castilla-La Mancha;Hombres;2º año;Matriculados otro ciclo;7,7
2020-2021;Castilla-La Mancha;Hombres;2º año;Bachillerato;0,9
2020-2021;Castilla-La Mancha;Hombres;2º año;Otras Enseñanzas;0,6
2020-2021;Castilla-La Mancha;Hombres;2º año;Sin Matricula;19,1
2020-2021;Castilla-La Mancha;Hombres;3er año;TOTAL;100,0
2020-2021;Castilla-La Mancha;Hombres;3er año;Terminan años anteriores;41,3
2020-2021;Castilla-La Mancha;Hombres;3er año;Matriculado mismo ciclo;21,8
