Comunidad autónoma;Curso de ingreso;Años de duración;Sexo;Total
Andalucía;2019-2020;2 años;Hombres;44,3
Andalucía;2019-2020;2 años;Mujeres;61,1
Andalucía;2019-2020;3 años;AMBOS SEXOS;13,8
Andalucía;2019-2020;3 años;Hombres;14,8
Andalucía;2019-2020;3 años;Mujeres;12,5
Andalucía;2019-2020;4 años;AMBOS SEXOS;4,8
Andalucía;2019-2020;4 años;Hombres;5,7
Andalucía;2019-2020;4 años;Mujeres;3,6
Andalucía;2018-2019;TOTAL;AMBOS SEXOS;69,1
Andalucía;2018-2019;TOTAL;Hombres;63,0
Andalucía;2018-2019;TOTAL;Mujeres;76,5
Andalucía;2018-2019;2 años;AMBOS SEXOS;44,6
Andalucía;2018-2019;2 años;Hombres;37,6
Andalucía;2018-2019;2 años;Mujeres;53,1
Andalucía;2018-2019;3 años;AMBOS SEXOS;19,0
Andalucía;2018-2019;3 años;Hombres;19,1
Andalucía;2018-2019;3 años;Mujeres;18,8
Andalucía;2018-2019;4 años;AMBOS SEXOS;5,5
Andalucía;2018-2019;4 años;Hombres;6,3
Andalucía;2018-2019;4 años;Mujeres;4,5
Andalucía;2017-2018;TOTAL;AMBOS SEXOS;65,6
Andalucía;2017-2018;TOTAL;Hombres;60,2
Andalucía;2017-2018;TOTAL;Mujeres;72,4
Andalucía;2017-2018;2 años;AMBOS SEXOS;46,1
Andalucía;2017-2018;2 años;Hombres;40,1
Andalucía;2017-2018;2 años;Mujeres;53,7
Andalucía;2017-2018;3 años;AMBOS SEXOS;12,7
Andalucía;2017-2018;3 años;Hombres;12,6
Andalucía;2017-2018;3 años;Mujeres;12,8
Andalucía;2017-2018;4 años;AMBOS SEXOS;6,8
Andalucía;2017-2018;4 años;Hombres;7,5
Andalucía;2017-2018;4 años;Mujeres;5,9
Andalucía;2016-2017 (1);TOTAL;AMBOS SEXOS;62,8
Andalucía;2016-2017 (1);TOTAL;Hombres;57,7
Andalucía;2016-2017 (1);TOTAL;Mujeres;69,3
Andalucía;2016-2017 (1);2 años;AMBOS SEXOS;43,8
Andalucía;2016-2017 (1);2 años;Hombres;38,6
Andalucía;2016-2017 (1);2 años;Mujeres;50,3
Andalucía;2016-2017 (1);3 años;AMBOS SEXOS;14,2
Andalucía;2016-2017 (1);3 años;Hombres;14,0
Andalucía;2016-2017 (1);3 años;Mujeres;14,5
Andalucía;2016-2017 (1);4 años;AMBOS SEXOS;4,8
Andalucía;2016-2017 (1);4 años;Hombres;5,1
Andalucía;2016-2017 (1);4 años;Mujeres;4,5
Aragón;2021-2022;TOTAL;AMBOS SEXOS;..
Aragón;2021-2022;TOTAL;Hombres;..
Aragón;2021-2022;TOTAL;Mujeres;..
Aragón;2021-2022;2 años;AMBOS SEXOS;50,5
Aragón;2021-2022;2 años;Hombres;46,6
Aragón;2021-2022;2 años;Mujeres;56,3
Aragón;2021-2022;3 años;AMBOS SEXOS;..
Aragón;2021-2022;3 años;Hombres;..
Aragón;2021-2022;3 años;Mujeres;..
Aragón;2021-2022;4 años;AMBOS SEXOS;..
Aragón;2021-2022;4 años;Hombres;..
Aragón;2021-2022;4 años;Mujeres;..
Aragón;2020-2021;TOTAL;AMBOS SEXOS;..
Aragón;2020-2021;TOTAL;Hombres;..
Aragón;2020-2021;TOTAL;Mujeres;..
Aragón;2020-2021;2 años;AMBOS SEXOS;47,1
Aragón;2020-2021;2 años;Hombres;45,3
Aragón;2020-2021;2 años;Mujeres;50,1
Aragón;2020-2021;3 años;AMBOS SEXOS;14,8
Aragón;2020-2021;3 años;Hombres;14,9
Aragón;2020-2021;3 años;Mujeres;14,8
Aragón;2020-2021;4 años;AMBOS SEXOS;..
Aragón;2020-2021;4 años;Hombres;..
Aragón;2020-2021;4 años;Mujeres;..
Aragón;2019-2020;TOTAL;AMBOS SEXOS;68,3
Aragón;2019-2020;TOTAL;Hombres;65,3
Aragón;2019-2020;TOTAL;Mujeres;72,5
Aragón;2019-2020;2 años;AMBOS SEXOS;49,6
Aragón;2019-2020;2 años;Hombres;45,4
Aragón;2019-2020;2 años;Mujeres;55,5
Aragón;2019-2020;3 años;AMBOS SEXOS;14,8
Aragón;2019-2020;3 años;Hombres;15,9
Aragón;2019-2020;3 años;Mujeres;13,2
Aragón;2019-2020;4 años;AMBOS SEXOS;3,9
Aragón;2019-2020;4 años;Hombres;3,9
Aragón;2019-2020;4 años;Mujeres;3,9
Aragón;2018-2019;TOTAL;AMBOS SEXOS;65,5
Aragón;2018-2019;TOTAL;Hombres;61,7
Aragón;2018-2019;TOTAL;Mujeres;70,6
Aragón;2018-2019;2 años;AMBOS SEXOS;42,2
Aragón;2018-2019;2 años;Hombres;38,3
Aragón;2018-2019;2 años;Mujeres;47,5
Aragón;2018-2019;3 años;AMBOS SEXOS;18,7
Aragón;2018-2019;3 años;Hombres;18,0
Aragón;2018-2019;3 años;Mujeres;19,5
Aragón;2018-2019;4 años;AMBOS SEXOS;4,6
Aragón;2018-2019;4 años;Hombres;5,4
Aragón;2018-2019;4 años;Mujeres;3,6
Aragón;2017-2018;TOTAL;AMBOS SEXOS;61,7
Aragón;2017-2018;TOTAL;Hombres;59,0
Aragón;2017-2018;TOTAL;Mujeres;65,7
Aragón;2017-2018;2 años;AMBOS SEXOS;39,2
Aragón;2017-2018;2 años;Hombres;36,0
Aragón;2017-2018;2 años;Mujeres;43,9
Aragón;2017-2018;3 años;AMBOS SEXOS;15,0
Aragón;2017-2018;3 años;Hombres;14,6
Aragón;2017-2018;3 años;Mujeres;15,7
Aragón;2017-2018;4 años;AMBOS SEXOS;7,5
Aragón;2017-2018;4 años;Hombres;8,4
Aragón;2017-2018;4 años;Mujeres;6,2
Aragón;2016-2017 (1);TOTAL;AMBOS SEXOS;61,3
Aragón;2016-2017 (1);TOTAL;Hombres;59,9
Aragón;2016-2017 (1);TOTAL;Mujeres;63,7
Aragón;2016-2017 (1);2 años;AMBOS SEXOS;42,6
Aragón;2016-2017 (1);2 años;Hombres;41,5
Aragón;2016-2017 (1);2 años;Mujeres;44,5
Aragón;2016-2017 (1);3 años;AMBOS SEXOS;13,7
Aragón;2016-2017 (1);3 años;Hombres;13,1
Aragón;2016-2017 (1);3 años;Mujeres;14,7
Aragón;2016-2017 (1);4 años;AMBOS SEXOS;5,0
Aragón;2016-2017 (1);4 años;Hombres;5,3
Aragón;2016-2017 (1);4 años;Mujeres;4,6
Asturias, Principado de;2021-2022;TOTAL;AMBOS SEXOS;..
Asturias, Principado de;2021-2022;TOTAL;Hombres;..
